author,year,cases,total,procedure,proced
Cappabianca et al,2002,3,146,endoscopy,0
White et al,2004,0,50,endoscopy,1
Senior et al,2008,3,148,endoscopy,1
Rudnik et al,2005,1,63,endoscopy,1
Kenan et al,2006,1,78,endoscopy,1
Uren et al,2007,0,32,endoscopy,1
Frank et al,2006,4,381,endoscopy,1
Dehdashiti et al,2008,1,200,endoscopy,1
Charalampaki et al,2007,1,50,endoscopy,1
Yano et al,2009,3,194,endoscopy,1
Zhang et al,2008,4,78,endoscopy,1
Campbel et al,2010,0,26,endoscopy,1
Gondim et al,2010,5,301,endoscopy,1
Nakao et al,2011,0,43,endoscopy,1
Choe et al,2008,0,12,endoscopy,1
O'Malley et al,2008,0,25,endoscopy,1
D'Haens et al,2009,0,60,endoscopy,1
Mortini et al,2005,6,1140,microscopy,0
Hoyby et al,2004,0,34,microscopy,0
White et al,2004,0,50,microscopy,0
Ciric et al,1997,4,638,microscopy,0
DE et al,2003,2,90,microscopy,0
Han et al,2008,0,592,microscopy,0
Semple and Laws,1999,0,105,microscopy,0
Zhang et al,1999,2,208,microscopy,0
Sheehan et al ,1999,0,70,microscopy,0
Choe et al,2008,0,11,microscopy,0
O'Malley et al,2008,0,25,microscopy,0
D'Haens et al,2009,0,60,microscopy,0
