author,year,authoryear,cases,total,studesg,studydesign,size,samplesize
Stewart-Brown,1988,Stewart-Brown 1988,7,12853,0,Birth cohort,0,Less than 100000
SanGiovanni,2002,SanGiovanni 2002,73,53639,0,Birth cohort,0,Less than 100000
Stayte,1993,Stayte 1993,4,6687,0,Birth cohort,0,Less than 100000
Haargaard,2004,Haargaard 2004,773,2616439,0,Birth cohort,1,More than 100000
Rahi,2001,Rahi 2001,248,734000,1,Others,1,More than 100000
Wirth,2002,Wirth 2002,421,1870000,1,Others,1,More than 100000
Hu,1987,Hu 1987,77,207319,1,Others,1,More than 100000
Bermejo,1998,Bermejo 1998,71,1124654,0,Birth cohort,1,More than 100000
Stoll,1997,Stoll 1997,57,212479,0,Birth cohort,1,More than 100000
Abrahamsson,1999,Abrahamsson 1999,136,377334,1,Others,1,More than 100000
Bhatti,2003,Bhatti 2003,199,982128,1,Others,1,More than 100000
Halilbasic,2014,Halilbasic 2014,51,38133,1,Others,0,Less than 100000
Chen,2014,Chen 2014,6,9246,1,Others,0,Less than 100000
Yang,2014,Yang 2014,8,6299,1,Others,0,Less than 100000
Pi,2012,Pi 2012,3,3079,1,Others,0,Less than 100000
Holmes,2003,Holmes 2003,10,33021,1,Others,0,Less than 100000
Nie,2008,Nie 2008,15,15398,1,Others,0,Less than 100000
