author,year,cases,total,moderatora,moda
"Stewart-Brown, S.L",1988,7,12853,level1,1
"Bermejo, E",1998,71,1124654,level1,1
"SanGiovanni, J.P",2002,73,53639,level1,1
"Haargaard, B",2004,773,2616439,level1,1
"Stayte, M",1993,4,6687,level1,1
"Stoll, C",1997,57,212479,level1,1
"Rahi, J.S",2001,248,734000,level2,2
"Wirth, M. G",2002,421,1870000,level2,2
"Hu, D. N",1987,77,207319,level2,2
"Abrahamsson, M",1999,136,377334,level2,2
"Bhatti, T.R",2003,199,982128,level2,2
"Nie, W. Y",2008,15,15398,level2,2
"Chen, Z",2014,6,9246,level2,2
"Yang, L",2014,8,6299,level2,2
"Pi, L.H",2012,3,3079,level2,2
"Holmes, J. M",2003,10,33021,level2,2
"Halilbasic, M",2014,51,38133,level2,2
