author,year,cases,total,moderatora,moda
Cappabianca et al,2002,3,146,level1,1
White et al,2004,0,50,level1,1
Senior et al,2008,3,148,level1,1
Rudnik et al,2005,1,63,level1,1
Kenan et al,2006,1,78,level1,1
Uren et al,2007,0,32,level1,1
Frank et al,2006,4,381,level1,1
Dehdashiti et al,2008,1,200,level1,1
Charalampaki et al,2007,1,50,level1,1
Yano et al,2009,3,194,level1,1
Zhang et al,2008,4,78,level1,1
Campbel et al,2010,0,26,level1,1
Gondim et al,2010,5,301,level1,1
Nakao et al,2011,0,43,level1,1
Choe et al,2008,0,12,level1,1
O'Malley et al,2008,0,25,level1,1
D'Haens et al,2009,0,60,level1,1
Mortini et al,2005,6,1140,level2,2
Hoyby et al,2004,0,34,level2,2
White et al,2004,0,50,level2,2
Ciric et al,1997,4,638,level2,2
DE et al,2003,2,90,level2,2
Han et al,2008,0,592,level2,2
Semple and Laws,1999,0,105,level2,2
Zhang et al,1999,2,208,level2,2
Sheehan et al ,1999,0,70,level2,2
Choe et al,2008,0,11,level2,2
O'Malley et al,2008,0,25,level2,2
D'Haens et al,2009,0,60,level2,2
