author,year,cases,total,studytype
Stewart-Brown et al.,1988,7,12853,Birth cohort
Bermejo et al.,1998,71,1124654,Birth cohort
SanGiovanni et al.,2002,73,53639,Birth cohort
Haargaard et al.,2004,773,2616439,Birth cohort
Stayte et al.,1993,4,6687,Birth cohort
Stoll et al.,1997,57,212479,Birth cohort
Rahi et al.,2001,248,734000,Others
Wirth et al.,2002,421,1870000,Others
Hu et al.,1987,77,207319,Others
Abrahamsson et al.,1999,136,377334,Others
Bhatti et al.,2003,199,982128,Others
Nie et al.,2008,15,15398,Others
Chen et al.,2014,6,9246,Others
Yang et al.,2014,8,6299,Others
Pi et al.,2012,3,3079,Others
Holmes et al.,2003,10,33021,Others
Halilbasic et al.,2014,51,38133,Others
