author,year,cases,total,moderatora,moda
Tang,1994,25,53,level1,1
Shi,1998,79,121,level1,1
Wan,1997,27,119,level1,1
Yan,1997,398,543,level1,1
Mai,1999,112,142,level1,1
Wei,1999,58,86,level1,1
Yang,1999,320,419,level1,1
Hu,2000,89,120,level1,1
Gu,2002,177,205,level1,1
Huang,2003,1409,2640,level1,1
Chen,2004,289,716,level1,1
Li,2004,232,235,level1,1
Wang,2004,294,508,level1,1
Tang,1996,66,91,level2,2
Bi,1998,69,77,level2,2
Lin,1999,39,58,level2,2
Wu,1999,104,113,level2,2
Liang,2000,186,208,level2,2
Garten,2004,402,485,level2,2
