author,year,cases,total,studytype
"Stewart-Brown, S.L",1988,7,12853,birth cohort
"Bermejo, E",1998,71,1124654,birth cohort
"SanGiovanni, J.P",2002,73,53639,birth cohort
"Haargaard, B",2004,773,2616439,birth cohort
"Stayte, M",1993,4,6687,birth cohort
"Stoll, C",1997,57,212479,birth cohort
"Rahi, J.S",2001,248,734000,others
"Wirth, M. G",2002,421,1870000,others
"Hu, D. N",1987,77,207319,others
"Abrahamsson, M",1999,136,377334,others
"Bhatti, T.R",2003,199,982128,others
"Nie, W. Y",2008,15,15398,others
"Chen, Z",2014,6,9246,others
"Yang, L",2014,8,6299,others
"Pi, L.H",2012,3,3079,others
"Holmes, J. M",2003,10,33021,others
"Halilbasic, M",2014,51,38133,others
